Article Title,Article Abstract,Publication Year,Publication Month,Publication Day
Current Concepts in the Business of Orthopaedics.,"Practice management within orthopaedic surgery demands a multifaceted skillset including clinical expertise, technical proficiency, and business acumen, yet the latter is rarely taught during orthopaedic training. As the healthcare system evolves in the United States, surgeons continue to face challenges such as decreasing reimbursements, increased regulatory burdens, and potential for practice acquisition. To remain competitive and provide exceptional care for patients, orthopaedic surgeons must cultivate a business-minded approach. This article highlights the growing significance of the business of orthopaedics and offers guidance on ambulatory surgical center ownership models, effective management of ancillary services, the effect of private equity in orthopaedic practice, real estate investment opportunities in medical office buildings, and the importance of brand recognition. By understanding these concepts, orthopaedic surgeons can exercise greater control over their practice's finances while providing quality care for their patients.",2023,12,27
Ferroptosis and its modulators: A raising target for cancer and Alzheimer's disease.,"The process of ferroptosis, a recently identified form of regulated cell death (RCD) is associated with the overloading of iron species and lipid-derived ROS accumulation. Ferroptosis is induced by various mechanisms such as inhibiting system Xc, glutathione depletion, targeting excess iron, and directly inhibiting GPX4 enzyme. Also, ferroptosis inhibition is achieved by blocking excessive lipid peroxidation by targeting different pathways. These mechanisms are often related to the pathophysiology and pathogenesis of diseases like cancer and Alzheimer's. Fundamentally distinct from other forms of cell death, such as necrosis and apoptosis, ferroptosis differs in terms of biochemistry, functions, and morphology. The mechanism by which ferroptosis acts as a regulatory factor in many diseases remains elusive. Studying the activation and inhibition of ferroptosis as a means to mitigate the progression of various diseases is a highly intriguing and actively researched topic. It has emerged as a focal point in etiological research and treatment strategies. This review systematically summarizes the different mechanisms involved in the inhibition and induction of ferroptosis. We have extensively explored different agents that can induce or inhibit ferroptosis. This review offers current perspectives on recent developments in ferroptosis research, highlighting the disease's etiology and presenting references to enhance its understanding. It also explores new targets for the treatment of cancer and Alzheimer's disease.",2023,12,20
Fluid and tissue biomarkers in Parkinson's disease: Immunodetection or seed amplification? Central or peripheral?,"Over the last two decades there have been meaningful developments on biomarkers of neurodegenerative diseases, extensively (but not solely) focusing on their proteinopathic nature. Accordingly, in Alzheimer's disease determination of levels of total and phosphorylated tau (τ and p-τ, usually p-τ181) along with amyloid-beta1-42 (Aβ1-42) by immunodetection in cerebrospinal fluid (CSF) and currently even in peripheral blood, have been widely accepted and introduced to routine diagnosis. In the case of Parkinson's disease, α-synuclein as a potential biomarker (both for diagnosis and progression tracking) has proved more elusive under the immunodetection approach. In recent years, the emergence of the so-called seed amplification assays is proving to be a game-changer, with mounting evidence under different technical approaches and using a variety of biofluids or tissues, yielding promising diagnostic accuracies. Currently the least invasive but at once more reliable source of biosamples and techniques are being sought. Here we overview these advances.",2023,12,27
Benign prostatic hyperplasia - A novel autoimmune disease with a potential therapy consequence?,"Benign prostatic hyperplasia (BPH) is considered as an age-related disease of men with an unknown etiopathophysiology. Chronic inflammation has been proposed as one of the major pathophysiological mechanisms. There is growing evidence for the involvement of autoimmune responses in an inflammatory setting in the prostate. Patients with autoimmune diseases show a significantly elevated prevalence of BPH. Conventional therapy options for BPH are limited, rendering surgery the ultimate alternative. However, immunosuppression via tumor necrosis factor alpha blocker appears to reduce symptoms in patients with BPH and concurrent autoimmune disease due to the reduction of epithelial hyperplasia and macrophage-induced inflammation. New diagnostic options using HEp-2 cells with overexpression of LEDGF/p75 or mitochondrial DNA as autoimmune targets could be used to identify BPH patients with autoimmune responses. Given the presumed involvement of autoimmune responses in BPH and the efficacy of immunosuppression in reducing BPH symptoms, BPH or subvariants of BPH may be candidates for a new autoimmune disease in males.",2023,12,31
Cancer genetic mutation prevalence in sub-Saharan Africa: A review of existing data.,"Cancer represents a leading cause of death worldwide. Germline mutations in several genes increase the risk of developing several cancers, including cancers of the breast, ovary, pancreas, colorectum, and melanoma. An understanding of the population prevalence of pathogenic germline variants can be helpful in the design of public health interventions, such as genetic testing, which has downstream implications for cancer screening, prevention, and treatment. While population-based studies of pathogenic germline variants exist, most such studies have been conducted in White populations. Limited data exist regarding the prevalence of germline mutations within sub-Saharan African populations.",2023,12,27
Breath-based biosensors and system development for noninvasive detection of diabetes: A review.,"In recent years, noninvasive techniques are becoming conspicuous for diabetes detection. Sweat, tear, saliva, urine and breath-based methods showing prominent results in breath acetone detection which is considered as a biomarker of diabetes. A concrete relationship between breath acetone and BG helps in the development of devices for diabetes detection.",2023,12,20
Insights into the preventive actions of natural compounds against Klebsiella pneumoniae infections and drug resistance.,"Klebsiella pneumoniae is a type of Gram-negative bacteria that causes a variety of infections, including pneumonia, bloodstream infections, wound infections, and meningitis. The treatment of K. pneumoniae infection depends on the type of infection and the severity of the symptoms. Antibiotics are generally used to treat K. pneumoniae infections. However, some strains of K. pneumoniae have become resistant to antibiotics. This comprehensive review examines the potential of natural compounds as effective strategies against K. pneumonia infections. The alarming rise in antibiotic resistance underscores the urgent need for alternative therapies. This article represents current research on the effects of diverse natural compounds, highlighting their anti-microbial and antibiofilm properties against K. pneumonia. Notably, compounds such as andrographolide, artemisinin, baicalin, berberine, curcumin, epigallocatechin gallate, eugenol, mangiferin, piperine, quercetin, resveratrol, and thymol have been extensively investigated. These compounds exhibit multifaceted mechanisms, including disruption of bacterial biofilms, interference with virulence factors, and augmentation of antibiotic effectiveness. Mechanistic insights into their actions include membrane perturbation, oxidative stress induction, and altered gene expression. While promising, challenges such as limited bioavailability and varied efficacy across bacterial strains are addressed. This review further discusses the potential of natural compounds as better alternatives in combating K. pneumonia infection and emphasizes the need for continued research to harness their full therapeutic potential. As antibiotic resistance persists, these natural compounds offer a promising avenue in the fight against K. pneumonia and other multidrug-resistant pathogens.",2023,12,31
Advanced strategies in high-throughput droplet screening for enzyme engineering.,"Enzymes, as biocatalysts, play a cumulatively important role in environmental purification and industrial production of chemicals and pharmaceuticals. However, natural enzymes are limited by their physiological properties in practice, which need to be modified driven by requirements. Screening and isolating certain enzyme variants or ideal industrial strains with high yielding of target product enzymes is one of the main directions of enzyme engineering research. Droplet-based high-throughput screening (DHTS) technology employs massive monodisperse emulsion droplets as microreactors to achieve single strain encapsulation, as well as continuous monitoring for the inside mutant library. It can effectively sort out strains or enzymes with desired characteristics, offering a throughput of 10<sup>8</sup> events per hour. Much of the early literature focused on screening various engineered strains or designing signalling sorting strategies based on DHTS technology. However, the field of enzyme engineering lacks a comprehensive overview of advanced methods for microfluidic droplets and their cutting-edge developments in generation and manipulation. This review emphasizes the advanced strategies and frontiers of microfluidic droplet generation and manipulation facilitating enzyme engineering development. We also introduce design for various screening signals that cooperate with DHTS and devote to enzyme engineering.",2023,12,26
Intravitreal enzyme replacement for inherited retinal diseases.,This paper provides an update on intravitreal (IVT) enzyme replacement therapy (ERT) in metabolic retinal diseases; particularly neuronal ceroid lipofuscinosis type 2 (CLN2) also known as Batten disease.,2023,12,27
Updates in the Surgical Management of Benign and High-Risk Breast Lesions.,"Benign breast disease (BBD) is a heterogenous group of lesions often classified as nonproliferative or proliferative, with the latter group further categorized based on the presence of atypia. Although nonproliferative lesions are more common, the risk of breast cancer is elevated in women with proliferative lesions. Historically, the majority of proliferative lesions were excised due to concern for future and/or concomitant breast cancer at the site of the index lesion. However, contemporary data suggest that the risk of cancer associated with various proliferative lesions may be lower than previously thought, and management of BBD has become more nuanced. In this review, we will focus on recent updates in the management of a select group of benign and high-risk lesions.",2023,12,21
MRI features and disability in multiple sclerosis: A systematic review and meta-analysis.,"In this systematic review and meta-analysis, we aimed to investigate the correlation between disability in patients with Multiple sclerosis (MS) measured by the Expanded Disability Status Scale (EDSS) and brain Magnetic Resonance Imaging (MRI) features to provide reliable results on which characteristics in the MRI can predict disability and prognosis of the disease.",2023,12,07
Clinical Management of Gastrointestinal and Liver Toxicities of Immune Checkpoint Inhibitors.,"Immune checkpoint inhibitors have transformed the treatment paradigm for various types of cancer. Nonetheless, with the utilization of these groundbreaking treatments, immune-related adverse events (irAEs) are increasingly encountered. Colonic and hepatic involvement are among the most frequently encountered irAEs. Drug-induced side effects, infectious causes, and tumor-related symptoms are the key differentials for irAE complications. Potential risk factors for the development of irAEs include combination use of immune checkpoint inhibitors, past development of irAEs with other immunotherapy treatments, certain concomitant drugs, and a pre-existing personal or family history of autoimmune illness such as inflammatory bowel disease. The importance of early recognition, timely and proper management cannot be understated, as there are profound clinical implications on the overall cancer treatment plan and prognosis once these adverse events occur. Herein, we cover the clinical management of the well-established gastrointestinal irAEs of enterocolitis and hepatitis, and also provide an overview of several other emerging entities.",2023,12,16
Uteroovarian pathway for embryo-empowered maintenance of the corpus luteum in farm animals.,"The first luteal response to pregnancy in farm animals at 12-18 days after ovulation involves maintenance of the corpus luteum (CL) if pregnancy has occurred. In most common farm species, regression of the CL results from production of a luteolysin (PGF2α) by the nongravid uterus, and maintenance of the CL involves the production of an antiluteolysin (PGE2) by the gravid uterus and conceptus. The proximal component of a unilateral pathway from a uterine horn to the adjacent CL for transport of PGF2α and PGE2 is the uterine venous and lymphatic vessels and the distal component is the ovarian artery. The mechanisms for venolymphatic arterial transport of PGF2α and PGE2 from a uterine horn to the adjacent CL ovary and transfer of each prostaglandin through the walls of the uteroovarian vein and ovarian artery occur by similar mechanisms probably as a consequence of similarities in molecular structure between the two prostaglandins. Reported conclusions or interpretations during the first luteal response to pregnancy in sows and ewes are that PGE2 increases in concentration in the uteroovarian vein and ovarian artery and counteracts the negative effect of PGF2α on the CL. In cows, treatment with PGE2 increases circulating progesterone concentrations and prevents spontaneous luteolysis and luteolysis induced by estradiol, an intrauterine device, or PGF2α. The prevailing acceptance that interferon tau is the primary factor for maintaining the CL during early pregnancy in ruminants will likely become tempered by the increasing reports on PGE2.",2023,12,23
Cross-neutralization activities of antibodies against 18 lyssavirus glycoproteins.,"Some lyssaviruses, including the rabies virus (RABV), induce lethal neurological symptoms in humans. However, commercial vaccines have only been evaluated for their efficacy against RABV and not against other lyssaviruses. To assess cross-reactivity among lyssaviruses, including RABV, sera from rabbits inoculated with human and animal RABV vaccines and polyclonal antibodies from rabbits immunized with expression plasmids of the glycoproteins of all 18 lyssaviruses were prepared, and cross-reactivity was evaluated via virus-neutralization tests using RABV, European bat lyssavirus-1 (EBLV-1), Duvenhage virus (DUVV), Mokola virus (MOKV), and Lagos bat virus (LBV). The sera against RABV vaccines showed cross-reactivity with EBLV-1 and DUVV, which both belong to phylogroup I. However, the reactivity with MOKV and LBV in phylogroup II was notably limited or below the detection level. Next, we compared the cross-reactivity of the polyclonal antibodies against all the lyssavirus glycoproteins. Polyclonal antibodies had high virus-neutralization titers against the same phylogroup, but not against different phylogroups. Our findings indicate that a new vaccine should be developed for pre- and post-exposure prophylaxis against lyssavirus infections.",2023,12,28
The Role of Amino Acid Supplementation in Orthopaedic Surgery.,"The nutritional status of patients undergoing orthopaedic surgery has started to garner increasing attention in published literature. Notable previous evidence has demonstrated the negative effect of malnutrition on outcomes after orthopaedic procedures. Although there has been increased recognition of malnutrition as a risk factor for suboptimal outcomes, the use of nutritional supplementation to mitigate those risks is not well understood. The purpose of this review of most current literature on the topic is to introduce and elucidate the role of amino acid supplementation as a countermeasure to muscle loss and improvement of nutritional status in orthopaedic patients to improve results and outcomes after orthopaedic surgery.",2023,12,28
Incidental Bleeding Gastrointestinal Stromal Tumor Identified on 99mTc-RBC Scintigraphy.,"Various pathologies could lead to occult gastrointestinal (GI) bleeding. Here we report the case of a 73-year-old woman who presented with hematochezia and syncope, and was found to have a large bleeding GI stromal tumor incidentally from 99mTc-RBC scintigraphy. This study was done after negative workup with CT angiography, colonoscopy, and capsule endoscopy for the source of GI bleeding. Final pathology confirmed the mass being a low-grade GI stromal tumor after exploratory laparotomy.",2023,12,23
Towards a better understanding of atmospheric water harvesting (AWH) technology.,"Atmospheric water harvesting (AWH) technology is an emerging sustainable development strategy to deal with global water scarcity. To better understand the current state of AWH technology development, we conducted a bibliometric analysis highlighting three water harvesting technologies (fog harvesting, condensation, and sorption). By comprehensively reviewing the research progress and performing a comparative assessment of these technologies, we summarized past achievements and critically analyzed the different technologies. Traditional fog collectors are more mature, but their efficiency still needs to be improved. External field-driven fog harvesting and active condensation need to be driven by external forces, and passive condensation has high requirements for environmental humidity. Emerging bio-inspired fog harvesting and sorption technology provide new possibilities for atmospheric water collection, but they have high requirements for materials, and their commercial application is still to be further promoted. Based on the key characteristics of each technology, we presented the development prospects for the joint use of integrated/hybrid systems. Next, the water-energy relationship is used as a link to clarify the future development strategy of AWH technology in energy driving and conversion. Finally, we outlined the core ideas of AWH for both basic research and practical applications and described its limitless possibilities for drinking water supply and agricultural irrigation. This review provides an essential reference for the development and practical application of AWH technologies, which contribute to the sustainable utilization of water resources globally.",2023,12,22
cGMP modulates hemin-mediated platelet death.,"Hemolysis is a known risk factor for thrombosis resulting in critical limb ischemia and microcirculatory disturbance and organ failure. Intravasal hemolysis may lead to life-threatening complications due to uncontrolled thrombo-inflammation. Until now, conventional antithrombotic therapies failed to control development and progression of these thrombotic events. Thus, the pathophysiology of these thrombotic events needs to be investigated to unravel underlying pathways and thereby identify targets for novel treatment strategies.",2023,12,21
"Discovery of 4-amino-1,6-dihydro-7H-pyrrolo[2,3-d]pyridazin-7-one derivatives as potential receptor-interacting serine/threonine-protein kinase 1 (RIPK1) inhibitors.","Receptor-interacting serine/threonine-protein kinase 1 (RIPK1) is an important regulatory factor in the necroptosis signaling pathway, and is considered an attractive therapeutic target for treating multiple inflammatory diseases. Herein, we describe the design, synthesis, and structure-activity relationships of 4-amino-1,6-dihydro-7H-pyrrolo [2,3-d]pyridazin-7-one derivatives as RIPK1 inhibitors. Among them, 13c showed favorable RIPK1 kinase inhibition activity with an IC<sub>50</sub> value of 59.8 nM, and high RIPK1 binding affinity compared with other regulatory kinases of necroptosis (RIPK1 K<sub>d</sub> = 3.5 nM, RIPK3 K<sub>d</sub> = 1700 nM, and MLKL K<sub>d</sub> > 30,000 nM). 13c efficiently blocked TNFα-induced necroptosis in both human and murine cells (EC<sub>50</sub> = 1.06-4.58 nM), and inhibited TSZ-induced phosphorylation of the RIPK1/RIPK3/MLKL pathway. In liver microsomal assay studies, the clearance rate and half-life of 13c were 18.40 mL/min/g and 75.33 min, respectively. 13c displayed acceptable pharmacokinetic characteristics, with oral bioavailability of 59.55%. In TNFα-induced systemic inflammatory response syndrome, pretreatment with 13c could effectively protect mice from loss of body temperature and death. Overall, these compounds are promising candidates for future optimization studies.",2023,12,27
Single port (SP) robotic pyeloplasty in a pediatric patient.,"We began using the da Vinci single port (SP) robot for pediatric urologic surgeries at our institution due to limited access to the multiport robot. Availability of this technology has allowed us to schedule cases in a timelier fashion and increase access to minimally invasive urologic surgery for children in our area. Here, we report our technique for transperitoneal SP robotic pyeloplasty in the case of a 7 year-old boy with left ureteropelvic junction obstruction. Our technique was refined over a series of 10 patients under the age of 18. Highlights of the SP RALP technique include one 3 cm, concealed incision over the pubic tubercle, gentle frog leg positioning and burping of the boom to create optimal angle for robotic docking, and use of a ""floating dock"" to obtain 10 cm distance from target anatomy which is essential in smaller pediatric patients. SP pyeloplasty is safe and feasible in children and offers a concealed single incision alternative to the multiport approach.",2023,12,14
Imaging and Biomarker Surveillance for Head and Neck Squamous cell carcinoma: A Systematic Review and Appropriate Use Criteria Document.,"Surveillance for survivors of head and neck cancer (HNC) is focused on early detection of recurrent or second primary malignancies. After initial restaging confirms disease-free status, there is controversy regarding the use of surveillance imaging for asymptomatic patients with HNC. Our objective was to comprehensively review literature pertaining to imaging and biomarker surveillance of asymptomatic patients treated for HNSCC, and to convene a multidisciplinary expert panel to provide appropriate use criteria for surveillance in representative clinical scenarios.",2023,12,31
Updated efficacy and safety of entrectinib in NTRK fusion-positive non-small cell lung cancer.,"NTRK fusions result in constitutively active oncogenic TRK proteins responsible for ∼ 0.2 % of non-small cell lung cancer (NSCLC) cases. Approximately 40 % of patients with advanced NSCLC develop CNS metastases; therefore, treatments with intracranial (IC) efficacy are needed. In an integrated analysis of three phase I/II studies (ALKA-372-001: EudraCT 2012-000148-88; STARTRK-1: NCT02097810; STARTRK-2: NCT02568267), entrectinib, a potent, CNS-active, TRK inhibitor, demonstrated efficacy in patients with NTRK fusion-positive (fp) NSCLC (objective response rate [ORR]: 64.5 %; 2 August 2021 data cut-off). We present updated data for this cohort.",2023,12,15
Evaluation of newborn hearing screening results of infants with phenylketonuria.,The purpose of this study is comparing the newborn hearing screening failure rate between phenylketonuria (PKU) infants and matched healthy control infants.,2023,12,29
"Ochrolines A-C, three new indole diketopiperazines from cultures of endophytic fungi Bionectria ochroleuca SLJB-2.","Three new indole diketopiperazines, ochrolines A-C (1-3), along with three known compounds (4-6), were isolated and identified from the EtOAc extract of the solid fermentation of Bionectria ochroleuca SLJB-2. Notably, compound 1 featured a natural rarely-occurring caged skeleton with a 6/5/6/7 heterotetracyclic bridged ring system. The structures including absolute configurations of 1-3 were fully accomplished by extensive spectroscopic analyses, DFT GIAO <sup>13</sup>C NMR and electronic circular dichroism (ECD) calculations. The plausible biogenetic pathways of these new indole diketopiperazines were also proposed. Moreover, the cytotoxic activity screening revealed that compound 2 exhibited moderate inhibitory effect against A549 with inhibition rate of 57.44% at the concentration of 50 μM and compound 1 exhibited mild inhibitory activities against A549, Hela and MCF-7.",2023,12,31
[Treatment strategies for deep caries].,"Deep caries occurs when caries progresses to the deep dentin layer, and further progression has the risk of pulp exposure, which may affect pulp vitality and tooth longevity. Currently, there are no objective standards for the diagnosis of deep caries. In addition, traditional therapy for deep caries emphasizes complete debridement of the decayed tissue, resulting in an incremental high risk of pulp exposure. There are different views on how to deal with the remaining dentin after caries removal, and root canal treatment is often adopted directly after pulp exposure. In recent years, due to advances in dental pulp biology, bioactive pulp-capping materials, and clinical evidence-based medicine, the principle of deep caries treatment has shifted to pulp protection. Based on the latest international research progress, evidence-based medicine and expert consensus, we present a series of advancements in this article, including the terminology of deep caries, pathological changes and defense mechanisms of the pulp close to the deep caries, treatment principles of deep caries, technical strategies for carious tissues removal, and the decision-making of treatment protocols after pulp exposure, with the aim of enhancing the understanding of deep caries among dentists, as well as providing a reference for the clinical diagnosis and treatment of deep caries.",2023,12,29
Insights into the role of extracellular polymeric substances (EPS) in the spread of antibiotic resistance genes.,"Antibiotic resistance genes (ARG) are prevalent in aquatic environments. Discharge from wastewater treatment plants is an important point source of ARG release into the environment. It has been reported that biological treatment processes may enhance rather than remove ARG because of their presence in sludge. Attenuation of ARG in biotechnological processes has been studied in depth, showing that many microorganisms can secrete complex extracellular polymeric substances (EPS). These EPS can serve as multifunctional elements of microbial communities, involving aspects, such as protection, structure, recognition, adhesion, and physiology. These aspects can influence the interaction between microbial cells and extracellular ARG, as well as the uptake of extracellular ARG by microbial cells, thus changing the transformative capability of extracellular ARG. However, it remains unclear whether EPS can affect horizontal ARG transfer, which is one of the main processes of ARG dissemination. In light of this knowledge gap, this review provides insight into the role of EPS in the transmission of ARGs; furthermore, the mechanism of ARG spread is analyzed, and the molecular compositions and functional properties of EPS are summarized; also, how EPS influence ARG mitigation is addressed, and factors impacting how EPS facilitate ARG during wastewater treatment are summarized. This review provides comprehensive insights into the role of EPS in controlling the transport and fate of ARG during biodegradation processes at the mechanistic level.",2023,12,31
Susceptibility-weighted image features in AQP4-negative-NMOSD versus MS.,"To characterize the susceptibility-weighted image (SWI) features including paramagnetic rim and nodular lesions with signal intensity changes and central vein sign (CVS) associated with aquaporin 4 (AQP4)-immunoglobulin G (IgG)-negative neuromyelitis optica spectrum disorder (NMOSD), and explore whether they can be used as potential imaging biomarkers for differentiating multiple sclerosis (MS) from this disorder.",2023,12,28
